codigo_comuna,total_hogares,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil
14204,12942,39.329315407201356,37.02673466233967,79.53175707000464
15101,80658,52.4076966946862,68.60943737756949,84.9178010860671
15102,437,12.814645308924485,2.9748283752860414,67.27688787185355
15201,621,25.120772946859905,5.636070853462158,73.26892109500805
15202,227,6.167400881057269,1.762114537444934,54.62555066079295
16101,70266,54.25383542538354,64.9773717018188,86.62653345857171
16102,8775,39.566951566951566,35.623931623931625,79.95441595441596
16103,11764,47.687861271676304,55.95885753145189,82.24243454607276
16104,5014,32.82808137215796,25.408855205424814,76.0071798962904
16105,3245,33.89830508474576,18.181818181818183,77.84283513097073
16106,4783,39.09680117081329,23.688061885845705,79.42713777963621
16107,7533,34.97942386831276,31.315544935616618,79.6760918624718
16108,6621,31.747470170669086,19.64959975834466,75.0339827820571
16109,7316,36.72772006560962,33.310552214324765,79.82504100601422
16201,4650,35.913978494623656,41.24731182795699,71.50537634408603
16202,2312,33.13148788927336,15.181660899653979,75.9515570934256
16203,5642,40.71251329315845,40.2339595887983,80.62743707904998
16204,2309,31.35556517973149,14.55175400606323,72.67215244694673
16205,2047,30.72789447972643,17.14704445530044,73.4733756717147
16206,2618,32.391138273491215,20.511841100076396,81.5126050420168
16207,2336,34.16095890410959,28.46746575342466,75.9417808219178
16301,20691,38.99763182059833,41.18698951234837,78.80237784544005
16302,10473,37.38183901460899,25.675546643750597,81.83901460899456
16303,4921,28.46982320666531,9.61186750660435,74.88315383052225
16304,2023,42.75827978250123,25.704399406821555,83.58872960949085
16305,5445,40.56932966023875,29.62350780532599,80.55096418732782
